area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,id_cont,id_d
America,Antigua and B.,Antigua and B.,ATG,low,6089,1068,1379,2500,5416,7179,9095,13327,17833,20180,22651,27619,1,1
America,Antigua and B.,Antigua and B.,ATG,mean,6089,3247,6933,11501,22038,27714,33579,46803,54698,54698,54698,54698,1,2
America,Antigua and B.,Antigua and B.,ATG,high,6089,7611,15229,23907,43234,54698,54698,54698,54698,54698,54698,54698,1,3
America,Bahamas,Bahamas,BHS,low,413811,214378,317037,422357,639072,754289,871232,1107770,1342989,1461652,1580473,1811569,1,1
America,Bahamas,Bahamas,BHS,mean,413811,425802,644691,879780,1355557,1595348,1827710,2197922,2197922,2197922,2197922,2197922,1,2
America,Bahamas,Bahamas,BHS,high,413811,646963,1001876,1359712,2054271,2197922,2197922,2197922,2197922,2197922,2197922,2197922,1,3
America,Barbados,Barbados,BRB,low,7075,978,1834,2846,4979,6178,7339,9945,12503,13844,15263,18365,1,1
America,Barbados,Barbados,BRB,mean,7075,6114,10487,15089,26287,32279,38891,48124,48124,48124,48124,48124,1,2
America,Barbados,Barbados,BRB,high,7075,12378,21388,31308,48124,48124,48124,48124,48124,48124,48124,48124,1,3
America,Belize,Belize,BLZ,low,5171143,3212093,4752601,6336202,9649776,11314214,12974351,16383692,19986851,21859099,23789291,27848173,1,1
America,Belize,Belize,BLZ,mean,5171143,5121103,7748949,10443475,15886918,18765105,21771794,28252918,35390212,39180329,43138686,51611883,1,2
America,Belize,Belize,BLZ,high,5171143,7119815,10839247,14577912,22683195,27156728,31961061,42429308,54244833,60680448,65187183,65187183,1,3
America,Bolivia,Bolivia,BOL,low,181645684,117304910,176092165,234790729,353926491,413892989,474356600,596900858,721868830,785562027,850073913,981204963,1,1
America,Bolivia,Bolivia,BOL,mean,181645684,187320206,281350151,376947382,570738124,669730647,770650748,978481647,1193781901,1303465772,1413958635,1636911410,1,2
America,Bolivia,Bolivia,BOL,high,181645684,257384548,388460963,521161977,795252431,937751148,1083916993,1384499398,1690853110,1845731111,2001963330,2317706460,1,3
America,Brazil,Brazil – Acre,AC,low,50337212,40675029,62068358,84178976,130660273,155086213,181564851,236483925,296832450,328112480,360030120,424438006,1,1
America,Brazil,Brazil – Acre,AC,mean,50337212,47697673,73039637,99335838,159741634,193271346,231144027,310207110,392807863,436024368,484200419,587555385,1,2
America,Brazil,Brazil – Acre,AC,high,50337212,54787630,84178976,117808762,198745863,245202261,294178868,402340468,528558298,597514847,680890345,918172157,1,3
America,Brazil,Brazil – Alagoas,AL,low,197594,131370,193821,257437,387657,497541,887497,2274138,2274138,2274138,2274138,2274138,1,1
America,Brazil,Brazil – Alagoas,AL,mean,197594,211708,317241,424681,1747288,2274138,2274138,2274138,2274138,2274138,2274138,2274138,1,2
America,Brazil,Brazil – Alagoas,AL,high,197594,293074,448733,1202243,2274138,2274138,2274138,2274138,2274138,2274138,2274138,2274138,1,3
