area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Antigua and B.,Antigua and B.,ATG,low,4731,316,992,1994,4610,6215,7944,11716,15711,17742,19762,23971,28149,1,1
America,Antigua and B.,Antigua and B.,ATG,mean,4731,2881,6361,10718,20124,25088,30067,40092,48065,48065,48065,48065,48065,1,2
America,Antigua and B.,Antigua and B.,ATG,high,4731,7146,14333,22066,37934,46342,48065,48065,48065,48065,48065,48065,48065,1,3
America,Bahamas,Bahamas,BHS,low,229608,113190,180849,244988,368767,427718,484719,594823,702138,755661,808531,914312,1019484,1,1
America,Bahamas,Bahamas,BHS,mean,229608,249748,375587,493303,714383,822728,930277,1145466,1327464,1327464,1327464,1327464,1327464,1,2
America,Bahamas,Bahamas,BHS,high,229608,378082,552943,718634,1044246,1207634,1327464,1327464,1327464,1327464,1327464,1327464,1327464,1,3
America,Barbados,Barbados,BRB,low,13232,3381,5103,6890,11150,13164,15278,19217,23390,25589,27660,31867,36238,1,1
America,Barbados,Barbados,BRB,mean,13232,13417,20563,28124,44217,53277,63266,85555,92091,92091,92091,92091,92091,1,2
America,Barbados,Barbados,BRB,high,13232,23884,36980,52083,89197,92091,92091,92091,92091,92091,92091,92091,92091,1,3
America,Belize,Belize,BLZ,low,6832263,4282029,6326004,8347354,12319048,14348511,16402571,20626754,24923458,27091440,29271182,33647920,38082475,1,1
America,Belize,Belize,BLZ,mean,6832263,7120701,10515298,13917314,21019840,24665699,28351632,35793132,43461809,47414672,51506018,59897034,68215773,1,2
America,Belize,Belize,BLZ,high,6832263,9918439,14722829,19724735,30070306,35324639,40696236,51950057,63880034,70448669,70448669,70448669,70448669,1,3
America,Bolivia,Bolivia,BOL,low,153229036,93861261,140984816,189015641,287126925,336908825,387362799,490178312,594842403,647885754,701571924,810802599,922410852,1,1
America,Bolivia,Bolivia,BOL,mean,153229036,170630400,258913409,348852496,534793068,630148792,727364722,927782734,1135779970,1242435760,1350783167,1571464843,1796942700,1,2
America,Bolivia,Bolivia,BOL,high,153229036,249546201,380090282,514928723,795053960,941249011,1091386049,1402660963,1725220965,1890592083,2059398035,2408748989,2773042535,1,3
America,Brazil,Brazil – Acre,AC,low,49505916,54145773,82362863,111280325,171071257,202092256,233900085,300912244,372091426,409295243,447100106,523759592,604704311,1,1
America,Brazil,Brazil – Acre,AC,mean,49505916,63477784,96716401,130941495,203859329,244766380,287165589,378534475,481318724,534953720,588978659,700693891,827339102,1,2
America,Brazil,Brazil – Acre,AC,high,49505916,72871439,111280325,152022030,246484850,299883960,358448973,486605271,622045281,694241881,774223490,997662395,1232678949,1,3
America,Brazil,Brazil – Alagoas,AL,low,264073,152045,227108,302803,459182,539909,621462,1085524,1935250,2565232,3320095,3497921,3497921,1,1
America,Brazil,Brazil – Alagoas,AL,mean,264073,285821,432432,585255,1290134,2327726,3497921,3497921,3497921,3497921,3497921,3497921,3497921,1,2
America,Brazil,Brazil – Alagoas,AL,high,264073,423743,648592,1141724,3497921,3497921,3497921,3497921,3497921,3497921,3497921,3497921,3497921,1,3
America,Brazil,Brazil – Amapa,AP,low,10032039,6940268,10726838,14571691,22382985,26371426,30438922,39640359,50202960,56114325,62270828,75221229,91002849,1,1
America,Brazil,Brazil – Amapa,AP,mean,10032039,9931132,15287990,20717252,33116262,41310288,50080575,70998842,98636159,114011312,129669917,163591833,209768918,1,2
America,Brazil,Brazil – Amapa,AP,high,10032039,12947386,19891927,27795912,50253030,64940071,82830592,124972744,173078313,201015325,235569376,359920312,656245195,1,3
America,Brazil,Brazil – Amazonas,AM,low,172514628,152690203,225698669,297538279,437738393,507391451,576809466,716172366,856419646,927255055,998358508,1140131979,1284429695,1,1
America,Brazil,Brazil – Amazonas,AM,mean,172514628,217285417,320713562,421635158,623373458,725845142,828613385,1037266210,1250704667,1359017899,1467707484,1687342407,1918311718,1,2
America,Brazil,Brazil – Amazonas,AM,high,172514628,281053675,413594601,545722041,814899269,952623946,1092838000,1377799915,1668180580,1816945445,1971215192,2326186200,2819610801,1,3
America,Brazil,Brazil – Bahia,BA,low,8386661,3851801,6065132,8394077,13292737,15881455,18551754,24615418,31501645,35296446,39206083,47399942,57216154,1,1
America,Brazil,Brazil – Bahia,BA,mean,8386661,7373801,11662168,16231750,26753959,33359982,40364487,56415999,76667581,88008890,99705935,124937787,136774368,1,2
America,Brazil,Brazil – Bahia,BA,high,8386661,11127588,17741246,25300305,45075771,57202701,71354134,104567521,136774368,136774368,136774368,136774368,136774368,1,3
