area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Antigua and B.,Antigua and B.,ATG,low,28562,6628,12810,19795,34412,42273,50601,67939,85556,94612,103851,122978,143026,1,1
America,Antigua and B.,Antigua and B.,ATG,mean,28562,25167,43008,63192,105579,128296,152259,204085,244894,244894,244894,244894,244894,1,2
America,Antigua and B.,Antigua and B.,ATG,high,28562,46749,79510,114258,192537,236355,244894,244894,244894,244894,244894,244894,244894,1,3
America,Bahamas,Bahamas,BHS,low,705910,333927,500877,673437,1028999,1210027,1391418,1760758,2141958,2335657,2530962,2926199,3326557,1,1
America,Bahamas,Bahamas,BHS,mean,705910,686756,1049547,1419108,2186142,2583619,2987091,3807732,4480519,4480519,4480519,4480519,4480519,1,2
America,Bahamas,Bahamas,BHS,high,705910,1056707,1617440,2201918,3419184,4044499,4480519,4480519,4480519,4480519,4480519,4480519,4480519,1,3
America,Barbados,Barbados,BRB,low,22532,5857,9549,13400,21457,25974,30518,39782,48984,53535,58218,67356,76201,1,1
America,Barbados,Barbados,BRB,mean,22532,26510,42797,59254,91337,108629,127634,170584,183106,183106,183106,183106,183106,1,2
America,Barbados,Barbados,BRB,high,22532,50029,77747,106313,177825,183106,183106,183106,183106,183106,183106,183106,183106,1,3
America,Belize,Belize,BLZ,low,10849502,6580826,9783985,12976672,19214700,22397718,25595080,32102861,38712906,42058781,45418963,52202875,59143224,1,1
America,Belize,Belize,BLZ,mean,10849502,11042697,16376680,21723642,32706229,38315775,44000306,55551302,67569102,73734990,80120497,93667982,107251162,1,2
America,Belize,Belize,BLZ,high,10849502,15438301,22982356,30718804,46654517,54818212,63240493,80821815,100216705,110767042,110767042,110767042,110767042,1,3
America,Bolivia,Bolivia,BOL,low,160239599,89005900,133909443,179217525,270278941,315881503,361543466,452801507,543856224,589387277,635046954,726829626,819161911,1,1
America,Bolivia,Bolivia,BOL,mean,160239599,161937208,244249075,326745323,491843035,574208934,656843777,823573462,991952538,1076754709,1161940897,1332886190,1504545977,1,2
America,Bolivia,Bolivia,BOL,high,160239599,235582658,355008551,474500131,713684840,834604343,956369878,1202416494,1450213238,1575152316,1701674046,1961548089,2231540796,1,3
America,Brazil,Brazil – Acre,AC,low,50864490,43845668,65770583,87625268,131422890,153491813,175653413,221393870,268819704,293185029,317793846,367586140,420113382,1,1
America,Brazil,Brazil – Acre,AC,mean,50864490,51171515,76710943,102178664,154728922,183134374,212094649,273057623,340013220,374853418,409925617,482293436,564479412,1,2
America,Brazil,Brazil – Acre,AC,high,50864490,58468750,87625268,117609609,184316007,220699188,259825208,343445731,431347899,478116869,529962168,675048045,827417180,1,3
America,Brazil,Brazil – Alagoas,AL,low,576338,301219,452396,607064,925336,1088773,1252276,2177829,3808723,4939541,6178374,6454761,6454761,1,1
America,Brazil,Brazil – Alagoas,AL,mean,576338,572588,871787,1179242,2580135,4523518,6454761,6454761,6454761,6454761,6454761,6454761,6454761,1,2
America,Brazil,Brazil – Alagoas,AL,high,576338,854174,1307158,2288589,6454761,6454761,6454761,6454761,6454761,6454761,6454761,6454761,6454761,1,3
America,Brazil,Brazil – Amapa,AP,low,8763990,6235521,9540084,12868671,19492740,22826742,26180363,33664730,42096214,46735113,51511470,61433879,73341657,1,1
America,Brazil,Brazil – Amapa,AP,mean,8763990,8846574,13483233,18093046,28374439,35005888,42000737,58215899,79050139,90534652,102216667,127389824,161408332,1,2
America,Brazil,Brazil – Amapa,AP,high,8763990,11468172,17397677,24003898,42135833,53569014,67197430,98715320,134392663,154974019,180353226,272127391,492176584,1,3
America,Brazil,Brazil – Amazonas,AM,low,163422101,137192278,199745651,259701279,375752937,433082862,489688279,602872370,716330753,773362344,830433396,943910065,1059596274,1,1
America,Brazil,Brazil – Amazonas,AM,mean,163422101,192638173,278953408,362450067,527525182,610715945,693917996,861582204,1032528930,1119528810,1207071598,1384877998,1572783114,1,2
