area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,for2110,yrdis,id_cont,id_d
America,Antigua and B.,Antigua and B.,ATG,low,4055,3838,3552,3343,3023,16,52,22,83,22,0.6,2803,2693,2583,2363,2253,2143,1923,1703,1593,1483,1263,1043,2157,1,1
America,Antigua and B.,Antigua and B.,ATG,mean,4055,3838,3552,3343,3023,16,52,22,83,52,1.6,2503,2243,1983,1463,1203,943,423,0,0,0,0,0,2078,1,2
America,Antigua and B.,Antigua and B.,ATG,high,4055,3838,3552,3343,3023,16,52,22,83,83,2.6,2193,1778,1363,533,118,0,0,0,0,0,0,0,2056,1,3
America,Bahamas,Bahamas,BHS,low,152350,125174,114614,106110,97862,431,1657,813,2502,813,0.7,89732,85667,81602,73472,69407,65342,57212,49082,45017,40952,32822,24692,2140,1,1
America,Bahamas,Bahamas,BHS,mean,152350,125174,114614,106110,97862,431,1657,813,2502,1657,1.5,81292,73007,64722,48152,39867,31582,15012,0,0,0,0,0,2079,1,2
America,Bahamas,Bahamas,BHS,high,152350,125174,114614,106110,97862,431,1657,813,2502,2502,2.4,72842,60332,47822,22802,10292,0,0,0,0,0,0,0,2059,1,3
America,Barbados,Barbados,BRB,low,4449,4344,4023,3597,3388,23,64,18,110,18,0.5,3208,3118,3028,2848,2758,2668,2488,2308,2218,2128,1948,1768,2208,1,1
America,Barbados,Barbados,BRB,mean,4449,4344,4023,3597,3388,23,64,18,110,64,1.7,2748,2428,2108,1468,1148,828,188,0,0,0,0,0,2072,1,2
America,Barbados,Barbados,BRB,high,4449,4344,4023,3597,3388,23,64,18,110,110,3.1,2288,1738,1188,88,0,0,0,0,0,0,0,0,2050,1,3
America,Belize,Belize,BLZ,low,1421133,1368947,1328061,1254036,1198089,2724,12996,7657,18334,7657,0.6,1121519,1083234,1044949,968379,930094,891809,815239,738669,700384,662099,585529,508959,2176,1,1
America,Belize,Belize,BLZ,mean,1421133,1368947,1328061,1254036,1198089,2724,12996,7657,18334,12996,1,1068129,1003149,938169,808209,743229,678249,548289,418329,353349,288369,158409,28449,2112,1,2
America,Belize,Belize,BLZ,high,1421133,1368947,1328061,1254036,1198089,2724,12996,7657,18334,18334,1.5,1014749,923079,831409,648069,556399,464729,281389,98049,6379,0,0,0,2085,1,3
America,Bolivia,Bolivia,BOL,low,32620546,31439235,30484770,29349275,28738539,39857,174616,96497,252735,96497,0.3,27773569,27291084,26808599,25843629,25361144,24878659,23913689,22948719,22466234,21983749,21018779,20053809,2317,1,1
America,Bolivia,Bolivia,BOL,mean,32620546,31439235,30484770,29349275,28738539,39857,174616,96497,252735,174616,0.6,26992379,26119299,25246219,23500059,22626979,21753899,20007739,18261579,17388499,16515419,14769259,13023099,2184,1,2
America,Bolivia,Bolivia,BOL,high,32620546,31439235,30484770,29349275,28738539,39857,174616,96497,252735,252735,0.9,26211189,24947514,23683839,21156489,19892814,18629139,16101789,13574439,12310764,11047089,8519739,5992389,2133,1,3
America,Brazil,Brazil – Acre,AC,low,13911608,13559872,13307205,13093603,12860444,3256,44684,38303,51065,38303,0.3,12477414,12285899,12094384,11711354,11519839,11328324,10936846,10536253,10332211,10127231,9715084,9284120,2204,1,1
America,Brazil,Brazil – Acre,AC,mean,13911608,13559872,13307205,13093603,12860444,3256,44684,38303,51065,44684,0.3,12413604,12190184,11966764,11509067,11263936,11015986,10500690,9942949,9655132,9367315,8780758,8123794,2160,1,2
America,Brazil,Brazil – Acre,AC,high,13911608,13559872,13307205,13093603,12860444,3256,44684,38303,51065,51065,0.4,12349794,12094469,11831794,11253775,10942755,10611879,9914540,9192728,8814339,8399062,7246143,5123934,2130,1,3
America,Brazil,Brazil – Alagoas,AL,low,111761,102533,97777,92149,88767,216,901,477,1325,477,0.5,83997,81612,79227,74457,72072,69687,56469,34136,19224,3374,0,0,2092,1,1
America,Brazil,Brazil – Alagoas,AL,mean,111761,102533,97777,92149,88767,216,901,477,1325,901,1,79757,75252,70747,50880,24663,0,0,0,0,0,0,0,2060,1,2
America,Brazil,Brazil – Alagoas,AL,high,111761,102533,97777,92149,88767,216,901,477,1325,1325,1.4,75517,68892,54917,0,0,0,0,0,0,0,0,0,2048,1,3
America,Brazil,Brazil – Amapa,AP,low,11729592,11630849,11564911,11502054,11458138,1542,10677,7654,13699,7654,0.1,11381598,11343328,11305058,11228518,11190248,11151978,11066990,10972887,10922090,10870355,10764698,10640225,2234,1,1
America,Brazil,Brazil – Amapa,AP,mean,11729592,11630849,11564911,11502054,11458138,1542,10677,7654,13699,10677,0.1,11351368,11297984,11244598,11126972,11051875,10973960,10798734,10581063,10463281,10345499,10099012,9782118,2173,1,2
America,Brazil,Brazil – Amapa,AP,high,11729592,11630849,11564911,11502054,11458138,1542,10677,7654,13699,13699,0.1,11321148,11252654,11176809,10972449,10848259,10704213,10380535,10032383,9840824,9612377,8833117,7084568,2138,1,3
America,Brazil,Brazil – Amazonas,AM,low,148094983,147460274,146852228,146278174,145345511,23568,150663,104470,196856,104470,0.1,144300811,143778461,143256111,142211411,141689061,141166711,140113562,139051299,138516422,137980607,136906790,135814157,2350,1,1
America,Brazil,Brazil – Amazonas,AM,mean,148094983,147460274,146852228,146278174,145345511,23568,150663,104470,196856,150663,0.1,143838881,143085566,142332251,140814764,140039737,139261892,137686806,136069275,135251563,134433851,132787504,131070750,2264,1,2
America,Brazil,Brazil – Amazonas,AM,high,148094983,147460274,146852228,146278174,145345511,23568,150663,104470,196856,196856,0.1,143376951,142392671,141401041,139365112,138325136,137265305,135110057,132930335,131822991,130678759,128067929,124487811,2213,1,3
America,Brazil,Brazil – Bahia,BA,low,2520981,2227982,2097105,2013976,1936082,3609,16103,9030,23176,9030,0.4,1845782,1800632,1755482,1665182,1620032,1574882,1476133,1368270,1310593,1251978,1132562,994328,2150,1,1
America,Brazil,Brazil – Bahia,BA,mean,2520981,2227982,2097105,2013976,1936082,3609,16103,9030,23176,16103,0.8,1775052,1694537,1614022,1442135,1339908,1234863,1005378,733446,588534,443622,142876,0,2105,1,2
America,Brazil,Brazil – Bahia,BA,high,2520981,2227982,2097105,2013976,1936082,3609,16103,9030,23176,23176,1.2,1704322,1588442,1465212,1166083,994508,803077,384628,0,0,0,0,0,2079,1,3
America,Brazil,Brazil – Ceara,CE,low,56712,51604,48194,42599,39700,201,849,454,1243,454,1,35160,32890,30620,26080,23810,21540,8552,0,0,0,0,0,2075,1,1
America,Brazil,Brazil – Ceara,CE,mean,56712,51604,48194,42599,39700,201,849,454,1243,849,1.9,31210,26965,22720,3374,0,0,0,0,0,0,0,0,2051,1,2
America,Brazil,Brazil – Ceara,CE,high,56712,51604,48194,42599,39700,201,849,454,1243,1243,2.9,27270,21055,7491,0,0,0,0,0,0,0,0,0,2042,1,3
America,Brazil,Brazil – Espirito Santo,ES,low,487268,430391,416514,400751,387061,890,2945,1202,4689,1202,0.3,375041,369031,363021,351001,344991,338981,318513,288930,270393,250918,209781,149828,2128,1,1
America,Brazil,Brazil – Espirito Santo,ES,mean,487268,430391,416514,400751,387061,890,2945,1202,4689,2945,0.7,357611,342886,328161,287855,251418,212163,114257,0,0,0,0,0,2079,1,2
America,Brazil,Brazil – Espirito Santo,ES,high,487268,430391,416514,400751,387061,890,2945,1202,4689,4689,1.2,340171,316726,285932,171672,92532,0,0,0,0,0,0,0,2060,1,3
America,Brazil,Brazil – Goias,GO,low,643704,551450,480568,408075,358154,2089,12241,8147,16335,8147,1.8,276684,235949,195214,113744,73009,32274,0,0,0,0,0,0,2064,1,1
America,Brazil,Brazil – Goias,GO,mean,643704,551450,480568,408075,358154,2089,12241,8147,16335,12241,2.9,235744,174539,113334,0,0,0,0,0,0,0,0,0,2049,1,2
America,Brazil,Brazil – Goias,GO,high,643704,551450,480568,408075,358154,2089,12241,8147,16335,16335,4.1,194804,113129,24104,0,0,0,0,0,0,0,0,0,2042,1,3
America,Brazil,Brazil – Maranhao,MA,low,5638128,4712832,3929775,3503968,3259469,15011,67024,37602,96446,37602,1,2883449,2695439,2507429,2131409,1943399,1755389,1370921,977338,776801,575326,170189,0,2105,1,1
America,Brazil,Brazil – Maranhao,MA,mean,5638128,4712832,3929775,3503968,3259469,15011,67024,37602,96446,67024,1.9,2589229,2254109,1918989,1237892,881060,521411,0,0,0,0,0,0,2068,1,2
America,Brazil,Brazil – Maranhao,MA,high,5638128,4712832,3929775,3503968,3259469,15011,67024,37602,96446,96446,2.8,2295009,1812779,1323199,291370,0,0,0,0,0,0,0,0,2053,1,3
America,Brazil,Brazil – Mato Grosso,MT,low,40368221,35531473,33282507,31785069,30333100,29595,294945,236938,352951,236938,0.7,27963720,26779030,25594340,23224960,22040270,20855580,18477751,16090808,14893591,13695436,11296939,8879626,2146,1,1
America,Brazil,Brazil – Mato Grosso,MT,mean,40368221,35531473,33282507,31785069,30333100,29595,294945,236938,352951,294945,0.9,27383650,25908925,24434200,21473893,19977456,18478201,15460295,12399944,10860822,9321700,6232533,3072959,2120,1,2
America,Brazil,Brazil – Mato Grosso,MT,high,40368221,35531473,33282507,31785069,30333100,29595,294945,236938,352951,352951,1.1,26803590,25038835,23266730,19669851,17849400,16009094,12292896,8552224,6664405,4739698,567918,0,2102,1,3
