"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG","low",5,0,2,5,8,12,16,20,24,28
"America","Antigua and B.","Antigua and B.","ATG","mean",5,3,11,20,30,40,48,48,48,48
"America","Antigua and B.","Antigua and B.","ATG","high",5,7,22,38,48,48,48,48,48,48
"America","Bahamas","Bahamas","BHS","low",230,113,245,369,485,595,702,809,914,1019
"America","Bahamas","Bahamas","BHS","mean",230,250,493,714,930,1145,1327,1327,1327,1327
"America","Bahamas","Bahamas","BHS","high",230,378,719,1044,1327,1327,1327,1327,1327,1327
"America","Barbados","Barbados","BRB","low",13,3,7,11,15,19,23,28,32,36
"America","Barbados","Barbados","BRB","mean",13,13,28,44,63,86,92,92,92,92
"America","Barbados","Barbados","BRB","high",13,24,52,89,92,92,92,92,92,92
"America","Belize","Belize","BLZ","low",6832,4282,8347,12319,16403,20627,24923,29271,33648,38082
"America","Belize","Belize","BLZ","mean",6832,7121,13917,21020,28352,35793,43462,51506,59897,68216
"America","Belize","Belize","BLZ","high",6832,9918,19725,30070,40696,51950,63880,70449,70449,70449
"America","Bolivia","Bolivia","BOL","low",153229,93861,189016,287127,387363,490178,594842,701572,810803,922411
"America","Bolivia","Bolivia","BOL","mean",153229,170630,348852,534793,727365,927783,1135780,1350783,1571465,1796943
"America","Bolivia","Bolivia","BOL","high",153229,249546,514929,795054,1091386,1402661,1725221,2059398,2408749,2773043
"America","Brazil","Brazil – Acre","AC","low",49506,54146,111280,171071,233900,300912,372091,447100,523760,604704
"America","Brazil","Brazil – Acre","AC","mean",49506,63478,130941,203859,287166,378534,481319,588979,700694,827339
"America","Brazil","Brazil – Acre","AC","high",49506,72871,152022,246485,358449,486605,622045,774223,997662,1232679
"America","Brazil","Brazil – Alagoas","AL","low",264,152,303,459,621,1086,1935,3320,3498,3498
"America","Brazil","Brazil – Alagoas","AL","mean",264,286,585,1290,3498,3498,3498,3498,3498,3498
"America","Brazil","Brazil – Alagoas","AL","high",264,424,1142,3498,3498,3498,3498,3498,3498,3498
"America","Brazil","Brazil – Amapa","AP","low",10032,6940,14572,22383,30439,39640,50203,62271,75221,91003
"America","Brazil","Brazil – Amapa","AP","mean",10032,9931,20717,33116,50081,70999,98636,129670,163592,209769
"America","Brazil","Brazil – Amapa","AP","high",10032,12947,27796,50253,82831,124973,173078,235569,359920,656245
"America","Brazil","Brazil – Amazonas","AM","low",172515,152690,297538,437738,576809,716172,856420,998359,1140132,1284430
"America","Brazil","Brazil – Amazonas","AM","mean",172515,217285,421635,623373,828613,1037266,1250705,1467707,1687342,1918312
"America","Brazil","Brazil – Amazonas","AM","high",172515,281054,545722,814899,1092838,1377800,1668181,1971215,2326186,2819611
"America","Brazil","Brazil – Bahia","BA","low",8387,3852,8394,13293,18552,24615,31502,39206,47400,57216
"America","Brazil","Brazil – Bahia","BA","mean",8387,7374,16232,26754,40364,56416,76668,99706,124938,136774
"America","Brazil","Brazil – Bahia","BA","high",8387,11128,25300,45076,71354,104568,136774,136774,136774,136774
"America","Brazil","Brazil – Ceara","CE","low",214,124,229,329,431,752,996,996,996,996
"America","Brazil","Brazil – Ceara","CE","mean",214,215,405,896,996,996,996,996,996,996
"America","Brazil","Brazil – Ceara","CE","high",214,303,780,996,996,996,996,996,996,996
"America","Brazil","Brazil – Espirito Santo","ES","low",1834,834,1607,2359,3097,4355,6227,8794,11740,16250
"America","Brazil","Brazil – Espirito Santo","ES","mean",1834,1948,3761,6297,11565,19015,28282,28282,28282,28282
"America","Brazil","Brazil – Espirito Santo","ES","high",1834,3024,6424,14580,28282,28282,28282,28282,28282,28282
"America","Brazil","Brazil – Goias","GO","low",6700,4416,8903,13373,17795,19393,19393,19393,19393,19393
"America","Brazil","Brazil – Goias","GO","mean",6700,6670,13396,19393,19393,19393,19393,19393,19393,19393
"America","Brazil","Brazil – Goias","GO","high",6700,8925,18209,19393,19393,19393,19393,19393,19393,19393
"America","Brazil","Brazil – Maranhao","MA","low",45039,27771,54179,80998,107572,136463,169508,212441,302967,302967
"America","Brazil","Brazil – Maranhao","MA","mean",45039,48330,95874,147146,219895,302967,302967,302967,302967,302967
"America","Brazil","Brazil – Maranhao","MA","high",45039,69519,140249,241402,302967,302967,302967,302967,302967,302967
"America","Brazil","Brazil – Mato Grosso","MT","low",247192,224567,460979,706257,958634,1219095,1486239,1763454,2053649,2360479
"America","Brazil","Brazil – Mato Grosso","MT","mean",247192,281442,580235,892073,1219046,1558215,1918403,2303238,2713595,3157095
"America","Brazil","Brazil – Mato Grosso","MT","high",247192,339011,701862,1087679,1495517,1931371,2403179,2920914,3508666,3583446
"America","Brazil","Brazil – Mato Grosso do Sul","MS","low",4360,3170,6326,9456,12521,16063,20139,24735,29660,35051
"America","Brazil","Brazil – Mato Grosso do Sul","MS","mean",4360,4294,8599,13341,20026,28133,35051,35051,35051,35051
"America","Brazil","Brazil – Mato Grosso do Sul","MS","high",4360,5446,11207,20079,33044,35051,35051,35051,35051,35051
"America","Brazil","Brazil – Minas Gerais","MG","low",24046,13643,28051,43441,59870,78586,92244,92244,92244,92244
"America","Brazil","Brazil – Minas Gerais","MG","mean",24046,27302,58150,92244,92244,92244,92244,92244,92244,92244
"America","Brazil","Brazil – Minas Gerais","MG","high",24046,41846,92244,92244,92244,92244,92244,92244,92244,92244
"America","Brazil","Brazil – Para","PA","low",416679,440445,878086,1321925,1772718,2241511,2724379,3211689,3703493,4206320
"America","Brazil","Brazil – Para","PA","mean",416679,535997,1071058,1616449,2187322,2781677,3387051,4003946,4636768,5292190
"America","Brazil","Brazil – Para","PA","high",416679,631377,1265988,1924854,2626029,3346753,4083042,4849996,5687180,6684779
"America","Brazil","Brazil – Paraiba","PB","low",88,38,77,118,157,465,1102,1272,1272,1272
"America","Brazil","Brazil – Paraiba","PB","mean",88,98,197,646,1272,1272,1272,1272,1272,1272
