"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","Antigua and B.","Antigua and B.","ATG","low",4,4,3,22,0.6,3,3,2,2,2,2,2,2,1,1,1,69,"2157"
"America","Antigua and B.","Antigua and B.","ATG","mean",4,4,3,52,1.6,3,2,1,1,1,0,0,0,0,0,0,100,"2078"
"America","Antigua and B.","Antigua and B.","ATG","high",4,4,3,83,2.6,2,1,1,0,0,0,0,0,0,0,0,100,"2056"
"America","Bahamas","Bahamas","BHS","low",152,115,98,813,0.7,90,82,73,69,65,57,49,45,41,33,25,78,"2140"
"America","Bahamas","Bahamas","BHS","mean",152,115,98,1657,1.5,81,65,48,40,32,15,0,0,0,0,0,100,"2079"
"America","Bahamas","Bahamas","BHS","high",152,115,98,2502,2.4,73,48,23,10,0,0,0,0,0,0,0,100,"2059"
"America","Barbados","Barbados","BRB","low",4,4,3,18,0.5,3,3,3,3,3,2,2,2,2,2,2,56,"2208"
"America","Barbados","Barbados","BRB","mean",4,4,3,64,1.7,3,2,1,1,1,0,0,0,0,0,0,100,"2072"
"America","Barbados","Barbados","BRB","high",4,4,3,110,3.1,2,1,0,0,0,0,0,0,0,0,0,100,"2050"
"America","Belize","Belize","BLZ","low",1421,1328,1198,7657,0.6,1122,1045,968,930,892,815,739,700,662,586,509,59,"2176"
"America","Belize","Belize","BLZ","mean",1421,1328,1198,12996,1,1068,938,808,743,678,548,418,353,288,158,28,89,"2112"
"America","Belize","Belize","BLZ","high",1421,1328,1198,18334,1.5,1015,831,648,556,465,281,98,6,0,0,0,100,"2085"
"America","Bolivia","Bolivia","BOL","low",32621,30485,28739,96497,0.3,27774,26809,25844,25361,24879,23914,22949,22466,21984,21019,20054,36,"2317"
"America","Bolivia","Bolivia","BOL","mean",32621,30485,28739,174616,0.6,26992,25246,23500,22627,21754,20008,18262,17388,16515,14769,13023,55,"2184"
"America","Bolivia","Bolivia","BOL","high",32621,30485,28739,252735,0.9,26211,23684,21156,19893,18629,16102,13574,12311,11047,8520,5992,74,"2133"
"America","Brazil","Brazil – Acre","AC","low",13912,13307,12860,38303,0.3,12477,12094,11711,11520,11328,10937,10536,10332,10127,9715,9284,30,"2204"
"America","Brazil","Brazil – Acre","AC","mean",13912,13307,12860,44684,0.3,12414,11967,11509,11264,11016,10501,9943,9655,9367,8781,8124,37,"2160"
"America","Brazil","Brazil – Acre","AC","high",13912,13307,12860,51065,0.4,12350,11832,11254,10943,10612,9915,9193,8814,8399,7246,5124,48,"2130"
"America","Brazil","Brazil – Alagoas","AL","low",112,98,89,477,0.5,84,79,74,72,70,56,34,19,3,0,0,100,"2092"
"America","Brazil","Brazil – Alagoas","AL","mean",112,98,89,901,1,80,71,51,25,0,0,0,0,0,0,0,100,"2060"
"America","Brazil","Brazil – Alagoas","AL","high",112,98,89,1325,1.4,76,55,0,0,0,0,0,0,0,0,0,100,"2048"
"America","Brazil","Brazil – Amapa","AP","low",11730,11565,11458,7654,0.1,11382,11305,11229,11190,11152,11067,10973,10922,10870,10765,10640,8,"2234"
"America","Brazil","Brazil – Amapa","AP","mean",11730,11565,11458,10677,0.1,11351,11245,11127,11052,10974,10799,10581,10463,10345,10099,9782,14,"2173"
